period,bsurf
0.617574685,8.70E+11
0.677683912,8.72E+11
0.658557614,8.76E+11
0.283641331,8.76E+11
0.344018308,8.77E+11
0.291020787,8.78E+11
0.630550141,8.80E+11
0.620217115,8.81E+11
0.55784066,8.83E+11
1.172763402,8.83E+11
0.218252913,8.84E+11
0.315196062,8.86E+11
0.628902546,8.91E+11
1.421653784,8.91E+11
1.10872485,8.93E+11
0.085284251,8.95E+11
0.594499816,8.98E+11
0.502802783,8.99E+11
0.39535286,9.01E+11
1.557917248,9.01E+11
0.387016921,9.01E+11
0.451472853,9.01E+11
0.075658988,9.01E+11
1.373815121,9.03E+11
0.507356003,9.04E+11
0.663329049,9.05E+11
1.211785095,9.05E+11
0.291930632,9.07E+11
0.533917296,9.09E+11
0.340729436,9.10E+11
0.127500777,9.10E+11
0.50856108,9.10E+11
0.08892176,9.14E+11
0.355725187,9.14E+11
1.343361488,9.18E+11
0.661992094,9.21E+11
0.846792846,9.22E+11
0.841157774,9.22E+11
0.284054345,9.23E+11
0.307177663,9.24E+11
0.545252742,9.27E+11
0.510368133,9.28E+11
0.938014228,9.30E+11
1.396598546,9.32E+11
0.305037319,9.33E+11
0.768184557,9.33E+11
0.86794888,9.36E+11
0.860332116,9.36E+11
1.334557231,9.36E+11
1.864331867,9.36E+11
0.759777464,9.38E+11
1.039076476,9.40E+11
0.537623733,9.41E+11
0.342722792,9.44E+11
0.452867354,9.45E+11
1.124835743,9.48E+11
1.392715464,9.48E+11
0.128694148,9.50E+11
0.374195893,9.52E+11
0.426466241,9.53E+11
0.512242093,9.55E+11
0.756899382,9.55E+11
0.487913592,9.56E+11
0.311812765,9.57E+11
0.868735115,9.57E+11
0.724513749,9.58E+11
1.014219485,9.58E+11
1.478721356,9.61E+11
0.340502709,9.61E+11
0.905393888,9.61E+11
1.515695993,9.63E+11
0.530660512,9.64E+11
0.068730406,9.64E+11
0.307942905,9.71E+11
0.306367863,9.73E+11
0.73418486,9.75E+11
0.730133707,9.76E+11
1.839944315,9.79E+11
0.372619055,9.79E+11
1.149498918,9.82E+11
0.182491659,9.83E+11
0.370882999,9.83E+11
1.603983555,9.84E+11
0.14047991,9.85E+11
0.476622836,9.87E+11
0.536595823,9.87E+11
0.868804249,9.90E+11
0.307682865,9.90E+11
0.742352395,9.91E+11
0.452800508,9.93E+11
1.096806003,9.99E+11
0.192601233,9.99E+11
0.535504398,1.00E+12
0.503015006,1.00E+12
0.491865489,1.00E+12
1.883479658,1.01E+12
0.063192942,1.01E+12
0.963348323,1.01E+12
0.935557045,1.01E+12
0.074669921,1.01E+12
0.512211401,1.01E+12
1.799272492,1.01E+12
0.18933499,1.01E+12
0.443054561,1.01E+12
0.478230933,1.02E+12
0.529156398,1.02E+12
0.44785706,1.02E+12
2.504517818,1.02E+12
0.312314406,1.02E+12
0.512110723,1.02E+12
0.101633196,1.03E+12
1.319759042,1.03E+12
2.355278193,1.03E+12
